g_m,energy,latency,w_a,w_0,w_m,d,g,g2,h,w,flops,params,acts,ws,ds,bs,gs
2.000000000000001,0.597835,0.0075380099999999995,34.3,48,2.782,23,24,48,1,1,2228170680,26162584,7538168,"[48, 144, 384, 1056]","[1, 5, 11, 6]","[1.0, 1.0, 1.0, 1.0]","[24, 24, 48, 48]"
1.0,2.02279,0.016223400000000002,71.8,216,2.388,25,80,80,1,1,19162940324,96123556,29907156,"[240, 480, 1200, 2960]","[2, 7, 15, 1]","[1.0, 1.0, 1.0, 1.0]","[80, 80, 80, 80]"
1.1,2.12519,0.0163693,71.8,216,2.388,25,80,88,1,1,20003407004,101439900,30226092,"[240, 480, 1232, 2992]","[2, 7, 15, 1]","[1.0, 1.0, 1.0, 1.0]","[80, 80, 88, 88]"
1.2000000000000002,1.88594,0.0153829,71.8,216,2.388,25,80,96,1,1,18879839280,94208368,29450768,"[240, 480, 1152, 2976]","[2, 7, 15, 1]","[1.0, 1.0, 1.0, 1.0]","[80, 80, 96, 96]"
1.3000000000000003,2.0942,0.016012699999999998,71.8,216,2.388,25,80,104,1,1,20783825912,105448120,30352536,"[240, 480, 1248, 2912]","[2, 7, 15, 1]","[1.0, 1.0, 1.0, 1.0]","[80, 80, 104, 104]"
1.4000000000000004,2.0692,0.0157256,71.8,216,2.388,25,80,112,1,1,20766072012,105197772,30198572,"[240, 480, 1232, 2912]","[2, 7, 15, 1]","[1.0, 1.0, 1.0, 1.0]","[80, 80, 112, 112]"
1.5000000000000004,1.98172,0.0156943,71.8,216,2.388,25,80,120,1,1,20510857164,104111116,29920916,"[240, 480, 1200, 3000]","[2, 7, 15, 1]","[1.0, 1.0, 1.0, 1.0]","[80, 80, 120, 120]"
1.6000000000000005,1.89771,0.015446999999999999,71.8,216,2.388,25,80,128,1,1,19877086992,99691344,29439760,"[240, 480, 1152, 2944]","[2, 7, 15, 1]","[1.0, 1.0, 1.0, 1.0]","[80, 80, 128, 128]"
1.7000000000000006,2.16017,0.016176100000000002,71.8,216,2.388,25,80,136,1,1,21481233414,109791270,30149110,"[240, 480, 1224, 2992]","[2, 7, 15, 1]","[1.0, 1.0, 1.0, 1.0]","[80, 80, 136, 136]"
1.8000000000000007,1.95114,0.0145447,71.8,216,2.388,25,80,144,1,1,20436750816,103495840,29467280,"[240, 480, 1152, 3024]","[2, 7, 15, 1]","[1.0, 1.0, 1.0, 1.0]","[80, 80, 144, 144]"
1.9000000000000008,2.10306,0.0153948,71.8,216,2.388,25,80,152,1,1,21799545544,110753864,30036352,"[240, 480, 1216, 2888]","[2, 7, 15, 1]","[1.0, 1.0, 1.0, 1.0]","[80, 80, 152, 152]"
2.000000000000001,2.19388,0.0155404,71.8,216,2.388,25,80,160,1,1,23317341744,119862896,30649456,"[240, 480, 1280, 2880]","[2, 7, 15, 1]","[1.0, 1.0, 1.0, 1.0]","[80, 80, 160, 160]"
1.0,1.35301,0.013398,68.8,104,2.782,24,72,72,1,1,9116457498,97164010,15053858,"[72, 288, 792, 2232]","[2, 4, 13, 5]","[1.0, 1.0, 1.0, 1.0]","[72, 72, 72, 72]"
1.1,1.36152,0.0132006,68.8,104,2.782,24,72,72,1,1,9116457498,97164010,15053858,"[72, 288, 792, 2232]","[2, 4, 13, 5]","[1.0, 1.0, 1.0, 1.0]","[72, 72, 72, 72]"
1.2000000000000002,1.35575,0.0132065,68.8,104,2.782,24,72,80,1,1,9403768492,99676348,15128908,"[72, 288, 800, 2240]","[2, 4, 13, 5]","[1.0, 1.0, 1.0, 1.0]","[72, 72, 80, 80]"
1.3000000000000003,1.3441500000000002,0.0131253,68.8,104,2.782,24,72,88,1,1,9410505306,98470314,15023874,"[72, 288, 792, 2200]","[2, 4, 13, 5]","[1.0, 1.0, 1.0, 1.0]","[72, 72, 88, 88]"
1.4000000000000004,1.25079,0.0115678,68.8,104,2.782,24,72,96,1,1,9357186276,98867956,14828708,"[72, 288, 768, 2208]","[2, 4, 13, 5]","[1.0, 1.0, 1.0, 1.0]","[72, 72, 96, 96]"
1.5000000000000004,1.39536,0.012605600000000002,68.8,104,2.782,24,72,104,1,1,10187679396,103393716,15346652,"[72, 288, 832, 2184]","[2, 4, 13, 5]","[1.0, 1.0, 1.0, 1.0]","[72, 72, 104, 104]"
1.6000000000000005,1.35552,0.0122164,68.8,104,2.782,24,72,112,1,1,9970133160,104799160,14993800,"[72, 288, 784, 2240]","[2, 4, 13, 5]","[1.0, 1.0, 1.0, 1.0]","[72, 72, 112, 112]"
1.7000000000000006,1.43078,0.012599299999999999,68.8,104,2.782,24,72,120,1,1,10899327942,112634518,15504158,"[72, 288, 840, 2280]","[2, 4, 13, 5]","[1.0, 1.0, 1.0, 1.0]","[72, 72, 120, 120]"
1.8000000000000007,1.30796,0.0115974,68.8,104,2.782,24,72,128,1,1,9999314724,103100724,14798724,"[72, 288, 768, 2176]","[2, 4, 13, 5]","[1.0, 1.0, 1.0, 1.0]","[72, 72, 128, 128]"
1.9000000000000008,1.40672,0.012171900000000001,68.8,104,2.782,24,72,136,1,1,10740503856,108024000,15204048,"[72, 288, 816, 2176]","[2, 4, 13, 5]","[1.0, 1.0, 1.0, 1.0]","[72, 72, 136, 136]"
2.000000000000001,1.49149,0.0126048,68.8,104,2.782,24,72,144,1,1,11843867196,120726604,15729308,"[72, 288, 864, 2304]","[2, 4, 13, 5]","[1.0, 1.0, 1.0, 1.0]","[72, 72, 144, 144]"
1.0,0.302495,0.00513799,32.1,56,2.035,18,40,40,1,1,770423744,8592896,4133696,"[40, 120, 240, 480]","[1, 3, 5, 9]","[1.0, 1.0, 1.0, 1.0]","[40, 40, 40, 40]"
1.1,0.304769,0.00522592,32.1,56,2.035,18,40,40,1,1,770423744,8592896,4133696,"[40, 120, 240, 480]","[1, 3, 5, 9]","[1.0, 1.0, 1.0, 1.0]","[40, 40, 40, 40]"
1.2000000000000002,0.309744,0.0051977099999999995,32.1,56,2.035,18,40,48,1,1,802599104,8990336,4133696,"[40, 120, 240, 480]","[1, 3, 5, 9]","[1.0, 1.0, 1.0, 1.0]","[40, 40, 48, 48]"
1.3000000000000003,0.312639,0.0054219,32.1,56,2.035,18,40,48,1,1,802599104,8990336,4133696,"[40, 120, 240, 480]","[1, 3, 5, 9]","[1.0, 1.0, 1.0, 1.0]","[40, 40, 48, 48]"
1.4000000000000004,0.295614,0.00494695,32.1,56,2.035,18,40,56,1,1,836437860,9885028,4110732,"[40, 120, 224, 504]","[1, 3, 5, 9]","[1.0, 1.0, 1.0, 1.0]","[40, 40, 56, 56]"
